vault_id,bank_id,start_x,end_x,start_y,end_y,z
25,7,128,255,76,79,3
25,8,128,255,72,75,4
25,9,128,255,76,79,4
25,10,128,255,72,75,5
25,11,128,255,76,79,5
25,12,128,255,72,75,6
25,13,128,255,76,79,6
25,14,128,255,72,75,7
25,15,128,255,76,79,7
26,0,128,255,80,83,0
26,1,128,255,84,87,0
26,2,128,255,80,83,1
26,3,128,255,84,87,1
26,4,128,255,80,83,2
26,5,128,255,84,87,2
26,6,128,255,80,83,3
26,7,128,255,84,87,3
26,8,128,255,80,83,4
26,9,128,255,84,87,4
26,10,128,255,80,83,5
26,11,128,255,84,87,5
26,12,128,255,80,83,6
26,13,128,255,84,87,6
26,14,128,255,80,83,7
26,15,128,255,84,87,7
27,0,128,255,88,91,0
27,1,128,255,92,95,0
27,2,128,255,88,91,1
27,3,128,255,92,95,1
27,4,128,255,88,91,2
27,5,128,255,92,95,2
27,6,128,255,88,91,3
27,7,128,255,92,95,3
27,8,128,255,88,91,4
27,9,128,255,92,95,4
27,10,128,255,88,91,5
27,11,128,255,92,95,5
27,12,128,255,88,91,6
27,13,128,255,92,95,6
27,14,128,255,88,91,7
27,15,128,255,92,95,7
28,0,128,255,96,99,0
28,1,128,255,100,103,0
28,2,128,255,96,99,1
28,3,128,255,100,103,1
28,4,128,255,96,99,2
28,5,128,255,100,103,2
28,6,128,255,96,99,3
28,7,128,255,100,103,3
28,8,128,255,96,99,4
28,9,128,255,100,103,4
28,10,128,255,96,99,5
28,11,128,255,100,103,5
28,12,128,255,96,99,6
28,13,128,255,100,103,6
28,14,128,255,96,99,7
28,15,128,255,100,103,7
29,0,128,255,104,107,0
29,1,128,255,108,111,0
29,2,128,255,104,107,1
29,3,128,255,108,111,1
29,4,128,255,104,107,2
29,5,128,255,108,111,2
29,6,128,255,104,107,3
29,7,128,255,108,111,3
29,8,128,255,104,107,4
29,9,128,255,108,111,4
29,10,128,255,104,107,5
29,11,128,255,108,111,5
29,12,128,255,104,107,6
29,13,128,255,108,111,6
